Sample	Assembler	Length_ratio
NCTC10005	miniasm	104.739
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	100.598
NCTC10005	miniasm	101.568
NCTC10005	miniasm	103.826
NCTC10005	miniasm	101.701
NCTC10005	miniasm	106.852
NCTC10005	miniasm	97.8689
NCTC10005	miniasm	101.469
NCTC10005	miniasm	104.177
NCTC10005	miniasm	109.784
NCTC10005	miniasm	97.3039
NCTC10005	miniasm	98.682
NCTC10005	miniasm	104.341
NCTC10005	miniasm	99.5902
NCTC10005	miniasm	100.912
NCTC10005	miniasm	106.286
NCTC10005	miniasm	104.218
NCTC10005	miniasm	98.9343
NCTC10005	miniasm	103.466
NCTC10005	miniasm	105.043
NCTC10005	miniasm	96.5338
NCTC10005	miniasm	100.351
NCTC10005	miniasm	104.704
NCTC10005	miniasm	97.007
NCTC10005	miniasm	101.742
NCTC10005	miniasm	101.045
NCTC10005	miniasm	102.456
NCTC10005	miniasm	105.41
NCTC10005	miniasm	101.754
NCTC10005	miniasm	100.353
NCTC10005	miniasm	103.74
NCTC10005	miniasm	96.7803
NCTC10005	miniasm	104.787
NCTC10005	miniasm	100.818
NCTC10005	miniasm	105.9
NCTC10005	miniasm	95.8863
NCTC10005	miniasm	101.643
NCTC10005	miniasm	98.2823
NCTC10005	miniasm	108.221
NCTC10005	miniasm	103.216
NCTC10005	miniasm	103.148
NCTC10005	miniasm	100.975
NCTC10005	miniasm	104.024
NCTC10005	miniasm	105.344
NCTC10005	miniasm	98.441
NCTC10005	miniasm	103.206
NCTC10005	miniasm	103.206
NCTC10005	miniasm	100.398
NCTC10005	miniasm	103.808
NCTC10005	miniasm	108.73
NCTC10005	miniasm	107.831
NCTC10005	miniasm	100.803
NCTC10005	miniasm	99.7992
NCTC10005	miniasm	101.006
NCTC10005	miniasm	100.615
NCTC10005	miniasm	101.629
NCTC10005	miniasm	99.7658
NCTC10005	miniasm	107.311
NCTC10005	miniasm	103.982
NCTC10005	miniasm	101.138
NCTC10005	miniasm	103.907
NCTC10005	miniasm	100.698
NCTC10005	miniasm	106.264
NCTC10005	miniasm	107.028
NCTC10005	miniasm	101.089
NCTC10005	miniasm	103.333
NCTC10005	miniasm	99.5495
NCTC10005	miniasm	107.092
NCTC10005	miniasm	104.545
NCTC10005	miniasm	100.92
NCTC10005	miniasm	103.214
NCTC10005	miniasm	99.2495
NCTC10005	miniasm	101.379
NCTC10005	miniasm	97.151
NCTC10005	miniasm	99.3396
NCTC10005	miniasm	103.022
NCTC10005	miniasm	101.604
NCTC10005	miniasm	99.8111
NCTC10005	miniasm	103.125
NCTC10005	miniasm	98.3003
NCTC10005	miniasm	101.511
NCTC10005	miniasm	104.55
NCTC10005	miniasm	100.398
NCTC10005	miniasm	104.076
NCTC10005	miniasm	102.467
NCTC10005	miniasm	100.379
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	101.289
NCTC10005	miniasm	104.221
NCTC10005	miniasm	96.9529
NCTC10005	miniasm	103.088
NCTC10005	miniasm	103.803
NCTC10005	miniasm	101.481
NCTC10005	miniasm	100.038
NCTC10005	miniasm	106.094
NCTC10005	miniasm	102.144
NCTC10005	miniasm	102.148
NCTC10005	miniasm	99.1945
NCTC10005	miniasm	105.746
NCTC10005	miniasm	101.698
NCTC10005	miniasm	105.431
NCTC10005	miniasm	103.873
NCTC10005	miniasm	96.3221
NCTC10005	miniasm	105.308
NCTC10005	miniasm	105.857
NCTC10005	miniasm	104.73
NCTC10005	miniasm	108.868
NCTC10005	miniasm	100
NCTC10005	miniasm	102.828
NCTC10005	miniasm	101.7
NCTC10005	miniasm	98.4877
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	101.568
NCTC10005	miniasm	103.321
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	100.569
NCTC10005	miniasm	99.6205
NCTC10005	miniasm	108.048
NCTC10005	miniasm	107.33
NCTC10005	miniasm	104.205
NCTC10005	miniasm	101.295
NCTC10005	miniasm	106.537
NCTC10005	miniasm	100.841
NCTC10005	miniasm	101.328
NCTC10005	miniasm	100.659
NCTC10005	miniasm	101.792
NCTC10005	miniasm	103.211
NCTC10005	miniasm	101.565
NCTC10005	miniasm	103.318
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	100
NCTC10005	miniasm	98.4863
NCTC10005	miniasm	101.703
NCTC10005	miniasm	104.748
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.746
NCTC10005	miniasm	99.6209
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	98.6035
NCTC10005	miniasm	100.522
NCTC10005	miniasm	98.5041
NCTC10005	miniasm	106.138
NCTC10005	miniasm	96.1019
NCTC10005	miniasm	103.982
NCTC10005	miniasm	101.871
NCTC10005	miniasm	105.026
NCTC10005	miniasm	100.972
NCTC10005	miniasm	108.464
NCTC10005	miniasm	103.438
NCTC10005	miniasm	101.203
NCTC10005	miniasm	97.2921
NCTC10005	miniasm	104.41
NCTC10005	miniasm	105.344
NCTC10005	miniasm	104.714
NCTC10005	miniasm	105.219
NCTC10005	miniasm	102.835
NCTC10005	miniasm	98.4513
NCTC10005	miniasm	97.4478
NCTC10005	miniasm	106.054
NCTC10005	miniasm	100.606
NCTC10005	miniasm	104.035
NCTC10005	miniasm	102.523
NCTC10005	miniasm	105.97
NCTC10005	miniasm	110.483
NCTC10005	miniasm	102.533
NCTC10005	miniasm	100.497
NCTC10005	miniasm	107.638
NCTC10005	miniasm	102.048
NCTC10005	miniasm	104.866
NCTC10005	miniasm	100.662
NCTC10005	miniasm	101.796
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	100.187
NCTC10005	miniasm	98.4863
NCTC10005	miniasm	107.33
NCTC10005	miniasm	101.703
NCTC10005	miniasm	99.5274
NCTC10005	miniasm	103.321
NCTC10005	miniasm	102.662
NCTC10005	miniasm	108.18
NCTC10005	miniasm	104.748
NCTC10005	miniasm	97.3359
NCTC10005	miniasm	100.598
NCTC10005	miniasm	101.568
NCTC10005	miniasm	104.444
NCTC10005	miniasm	103.23
NCTC10005	miniasm	105.411
NCTC10005	miniasm	102.911
NCTC10005	miniasm	103.198
NCTC10005	miniasm	101.562
NCTC10005	miniasm	101.796
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	100
NCTC10005	miniasm	101.701
NCTC10005	miniasm	104.748
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.662
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	100
NCTC10005	miniasm	108.885
NCTC10005	miniasm	101.7
NCTC10005	miniasm	104.744
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	101.568
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.662
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	101.693
NCTC10005	miniasm	100
NCTC10005	miniasm	99.4329
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	101.568
NCTC10005	miniasm	104.748
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.746
NCTC10005	miniasm	99.6205
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	101.301
NCTC10005	miniasm	103.241
NCTC10005	miniasm	101.123
NCTC10005	miniasm	98.434
NCTC10005	miniasm	104.513
NCTC10005	miniasm	100.597
NCTC10005	miniasm	106.133
NCTC10005	miniasm	103.446
NCTC10005	miniasm	101.871
NCTC10005	miniasm	100.972
NCTC10005	miniasm	96.1019
NCTC10005	miniasm	103.381
NCTC10005	miniasm	105.019
NCTC10005	miniasm	103.979
NCTC10005	miniasm	105.344
NCTC10005	miniasm	96.7864
NCTC10005	miniasm	101.598
NCTC10005	miniasm	100
NCTC10005	miniasm	100.569
NCTC10005	miniasm	99.6205
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	108.876
NCTC10005	miniasm	99.7872
NCTC10005	miniasm	107.368
NCTC10005	miniasm	104.274
NCTC10005	miniasm	103.321
NCTC10005	miniasm	108.18
NCTC10005	miniasm	104.739
NCTC10005	miniasm	100.432
NCTC10005	miniasm	100.598
NCTC10005	miniasm	101.568
NCTC10005	miniasm	102.934
NCTC10005	miniasm	102.744
NCTC10005	miniasm	100
NCTC10005	miniasm	108.876
NCTC10005	miniasm	101.7
NCTC10005	miniasm	104.623
NCTC10005	miniasm	98.4877
NCTC10005	miniasm	99.4334
NCTC10005	miniasm	103.208
NCTC10005	miniasm	101.798
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	101.568
NCTC10005	miniasm	103.321
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	100.569
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	107.895
NCTC10005	miniasm	103.266
NCTC10005	miniasm	104.713
NCTC10005	miniasm	101.676
NCTC10005	miniasm	109.085
NCTC10005	miniasm	102.295
NCTC10005	miniasm	103.751
NCTC10005	miniasm	107.582
NCTC10005	miniasm	103.379
NCTC10005	miniasm	102.351
NCTC10005	miniasm	106.166
NCTC10005	miniasm	96.1136
NCTC10005	miniasm	108.439
NCTC10005	miniasm	100.524
NCTC10005	miniasm	103.982
NCTC10005	miniasm	101.871
NCTC10005	miniasm	105.026
NCTC10005	miniasm	100.973
NCTC10005	miniasm	103.448
NCTC10005	miniasm	103.381
NCTC10005	miniasm	101.203
NCTC10005	miniasm	97.0588
NCTC10005	miniasm	104.311
NCTC10005	miniasm	105.344
NCTC10005	miniasm	100.717
NCTC10005	miniasm	102.877
NCTC10005	miniasm	99.3952
NCTC10005	miniasm	105.263
NCTC10005	miniasm	102.283
NCTC10005	miniasm	98.5948
NCTC10005	miniasm	101.12
NCTC10005	miniasm	105.528
NCTC10005	miniasm	97.3835
NCTC10005	miniasm	104.33
NCTC10005	miniasm	104.305
NCTC10005	miniasm	104.426
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	106.933
NCTC10005	miniasm	104.262
NCTC10005	miniasm	106.374
NCTC10005	miniasm	97.9508
NCTC10005	miniasm	98.9336
NCTC10005	miniasm	100.996
NCTC10005	miniasm	109.876
NCTC10005	miniasm	99.5208
NCTC10005	miniasm	105.636
NCTC10005	miniasm	102.572
NCTC10005	miniasm	104.796
NCTC10005	miniasm	102.16
NCTC10005	miniasm	103.686
NCTC10005	miniasm	102.324
NCTC10005	miniasm	103.557
NCTC10005	miniasm	103.793
NCTC10005	miniasm	101.783
NCTC10005	miniasm	100.811
NCTC10005	miniasm	101.557
NCTC10005	miniasm	100.406
NCTC10005	miniasm	105.443
NCTC10005	miniasm	93.4959
NCTC10005	miniasm	103.3
NCTC10005	miniasm	99.9059
NCTC10005	miniasm	102.723
NCTC10005	miniasm	108.774
NCTC10005	miniasm	104.64
NCTC10005	miniasm	98.3962
NCTC10005	miniasm	99.3384
NCTC10005	miniasm	103.119
NCTC10005	miniasm	101.701
NCTC10005	miniasm	97.2407
NCTC10005	miniasm	101.391
NCTC10005	miniasm	103.223
NCTC10005	miniasm	100.498
NCTC10005	miniasm	104.175
NCTC10005	miniasm	100.474
NCTC10005	miniasm	99.5256
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	102.767
NCTC10005	miniasm	104.276
NCTC10005	miniasm	101.443
NCTC10005	miniasm	104.884
NCTC10005	miniasm	102.242
NCTC10005	miniasm	102.406
NCTC10005	miniasm	98.8
NCTC10005	miniasm	99.5188
NCTC10005	miniasm	103.769
NCTC10005	miniasm	102.655
NCTC10005	miniasm	104.027
NCTC10005	miniasm	101.126
NCTC10005	miniasm	101.794
NCTC10005	miniasm	98.4305
NCTC10005	miniasm	106.058
NCTC10005	miniasm	103.371
NCTC10005	miniasm	100.448
NCTC10005	miniasm	108.383
NCTC10005	miniasm	100.896
NCTC10005	miniasm	96.03
NCTC10005	miniasm	104.311
NCTC10005	miniasm	103.303
NCTC10005	miniasm	105.344
NCTC10005	miniasm	96.6165
NCTC10005	miniasm	104.036
NCTC10005	miniasm	99.4304
NCTC10005	miniasm	97.1452
NCTC10005	miniasm	104.085
NCTC10005	miniasm	104.17
NCTC10005	miniasm	101.136
NCTC10005	miniasm	106.699
NCTC10005	miniasm	103.997
NCTC10005	miniasm	106.111
NCTC10005	miniasm	97.7068
NCTC10005	miniasm	100.745
NCTC10005	miniasm	109.587
NCTC10005	miniasm	102.424
NCTC10005	miniasm	107.879
NCTC10005	miniasm	99.4329
NCTC10005	miniasm	103.214
NCTC10005	miniasm	107.311
NCTC10005	miniasm	101.798
NCTC10005	miniasm	100
NCTC10005	miniasm	108.868
NCTC10005	miniasm	98.4877
NCTC10005	miniasm	100.569
NCTC10005	miniasm	101.7
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	104.274
NCTC10005	miniasm	103.321
NCTC10005	miniasm	102.746
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	100.598
NCTC10005	miniasm	101.568
NCTC10005	miniasm	102.564
NCTC10005	miniasm	103.427
NCTC10005	miniasm	105.962
NCTC10005	miniasm	102.941
NCTC10005	miniasm	110.212
NCTC10005	miniasm	97.3835
NCTC10005	miniasm	98.7654
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	104.341
NCTC10005	miniasm	101.556
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.962
NCTC10005	miniasm	104.426
NCTC10005	miniasm	100.996
NCTC10005	miniasm	106.374
NCTC10005	miniasm	104.305
NCTC10005	miniasm	102.797
NCTC10005	miniasm	103.314
NCTC10005	miniasm	101.195
NCTC10005	miniasm	97.9491
NCTC10005	miniasm	104.334
NCTC10005	miniasm	101.554
NCTC10005	miniasm	106.956
NCTC10005	miniasm	109.876
NCTC10005	miniasm	97.3813
NCTC10005	miniasm	98.7634
NCTC10005	miniasm	104.426
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	100.996
NCTC10005	miniasm	106.374
NCTC10005	miniasm	104.305
NCTC10005	miniasm	104.144
NCTC10005	miniasm	101.545
NCTC10005	miniasm	104.327
NCTC10005	miniasm	97.9491
NCTC10005	miniasm	104.262
NCTC10005	miniasm	109.876
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	98.7634
NCTC10005	miniasm	104.423
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	100.996
NCTC10005	miniasm	106.436
NCTC10005	miniasm	104.305
NCTC10005	miniasm	100
NCTC10005	miniasm	100.569
NCTC10005	miniasm	105.61
NCTC10005	miniasm	103.664
NCTC10005	miniasm	100.975
NCTC10005	miniasm	93.6482
NCTC10005	miniasm	101.724
NCTC10005	miniasm	103.846
NCTC10005	miniasm	105.706
NCTC10005	miniasm	102.538
NCTC10005	miniasm	93.2037
NCTC10005	miniasm	100
NCTC10005	miniasm	103.664
NCTC10005	miniasm	100.567
NCTC10005	miniasm	105.614
NCTC10005	miniasm	100.976
NCTC10005	miniasm	101.954
NCTC10005	miniasm	101.726
NCTC10005	miniasm	103.846
NCTC10005	miniasm	103.959
NCTC10005	miniasm	111.273
NCTC10005	miniasm	101.879
NCTC10005	miniasm	98.801
NCTC10005	miniasm	105.721
NCTC10005	miniasm	102.655
NCTC10005	miniasm	104.884
NCTC10005	miniasm	102.24
NCTC10005	miniasm	103.769
NCTC10005	miniasm	102.402
NCTC10005	miniasm	100.799
NCTC10005	miniasm	102.406
NCTC10005	miniasm	95.619
NCTC10005	miniasm	101.511
NCTC10005	miniasm	103.125
NCTC10005	miniasm	104.531
NCTC10005	miniasm	103.664
NCTC10005	miniasm	100.57
NCTC10005	miniasm	105.614
NCTC10005	miniasm	100
NCTC10005	miniasm	101.951
NCTC10005	miniasm	93.9808
NCTC10005	miniasm	101.724
NCTC10005	miniasm	103.846
NCTC10005	miniasm	102.17
NCTC10005	miniasm	97.3359
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	99.906
NCTC10005	miniasm	101.568
NCTC10005	miniasm	103.321
NCTC10005	miniasm	98.4863
NCTC10005	miniasm	101.703
NCTC10005	miniasm	104.748
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.746
NCTC10005	miniasm	100.569
NCTC10005	miniasm	108.18
NCTC10005	miniasm	107.33
NCTC10005	miniasm	103.897
NCTC10005	miniasm	102.623
NCTC10005	miniasm	103.7
NCTC10005	miniasm	102.226
NCTC10005	miniasm	101.333
NCTC10005	miniasm	103.828
NCTC10005	miniasm	100.841
NCTC10005	miniasm	102.099
NCTC10005	miniasm	102.476
NCTC10005	miniasm	96.7803
NCTC10005	miniasm	100.522
NCTC10005	miniasm	103.979
NCTC10005	miniasm	105.022
NCTC10005	miniasm	101.042
NCTC10005	miniasm	106.138
NCTC10005	miniasm	96.1019
NCTC10005	miniasm	101.871
NCTC10005	miniasm	98.503
NCTC10005	miniasm	108.358
NCTC10005	miniasm	103.448
NCTC10005	miniasm	103.446
NCTC10005	miniasm	101.203
NCTC10005	miniasm	105.344
NCTC10005	miniasm	102.8
NCTC10005	miniasm	104.884
NCTC10005	miniasm	102.242
NCTC10005	miniasm	102.406
NCTC10005	miniasm	98.799
NCTC10005	miniasm	99.5188
NCTC10005	miniasm	103.769
NCTC10005	miniasm	105.726
NCTC10005	miniasm	103.377
NCTC10005	miniasm	105.721
NCTC10005	miniasm	102.665
NCTC10005	miniasm	102.482
NCTC10005	miniasm	101.995
NCTC10005	miniasm	104.088
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	104.341
NCTC10005	miniasm	101.556
NCTC10005	miniasm	98.7634
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.962
NCTC10005	miniasm	104.426
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	100.996
NCTC10005	miniasm	106.374
NCTC10005	miniasm	94.2141
NCTC10005	miniasm	102.143
NCTC10005	miniasm	103.028
NCTC10005	miniasm	103.448
NCTC10005	miniasm	98.8496
NCTC10005	miniasm	109.876
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	104.341
NCTC10005	miniasm	101.556
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.956
NCTC10005	miniasm	104.423
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	100.984
NCTC10005	miniasm	104.305
NCTC10005	miniasm	98.457
NCTC10005	miniasm	103.446
NCTC10005	miniasm	108.458
NCTC10005	miniasm	101.203
NCTC10005	miniasm	100.524
NCTC10005	miniasm	101.871
NCTC10005	miniasm	100.973
NCTC10005	miniasm	96.1019
NCTC10005	miniasm	104.311
NCTC10005	miniasm	103.381
NCTC10005	miniasm	105.026
NCTC10005	miniasm	103.982
NCTC10005	miniasm	105.344
NCTC10005	miniasm	97.2921
NCTC10005	miniasm	98.7694
NCTC10005	miniasm	101.939
NCTC10005	miniasm	100
NCTC10005	miniasm	103.664
NCTC10005	miniasm	100.57
NCTC10005	miniasm	105.614
NCTC10005	miniasm	100.976
NCTC10005	miniasm	93.9808
NCTC10005	miniasm	101.726
NCTC10005	miniasm	103.793
NCTC10005	miniasm	103.016
NCTC10005	miniasm	99.8522
NCTC10005	miniasm	102.385
NCTC10005	miniasm	102.133
NCTC10005	miniasm	102.977
NCTC10005	miniasm	98.8
NCTC10005	miniasm	102.24
NCTC10005	miniasm	102.406
NCTC10005	miniasm	99.5188
NCTC10005	miniasm	103.766
NCTC10005	miniasm	102.655
NCTC10005	miniasm	105.726
NCTC10005	miniasm	101.868
NCTC10005	miniasm	100.893
NCTC10005	miniasm	101.641
NCTC10005	miniasm	103.846
NCTC10005	miniasm	100.488
NCTC10005	miniasm	105.528
NCTC10005	miniasm	93.572
NCTC10005	miniasm	103.76
NCTC10005	miniasm	96.5517
NCTC10005	miniasm	105.226
NCTC10005	miniasm	99.3007
NCTC10005	miniasm	99.2908
NCTC10005	miniasm	98.5915
NCTC10005	miniasm	97.1554
NCTC10005	miniasm	104.334
NCTC10005	miniasm	101.554
NCTC10005	miniasm	104.305
NCTC10005	miniasm	104.426
NCTC10005	miniasm	99.6729
NCTC10005	miniasm	106.962
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.374
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	98.7654
NCTC10005	miniasm	100.996
NCTC10005	miniasm	109.859
NCTC10005	miniasm	104.674
NCTC10005	miniasm	103.131
NCTC10005	miniasm	104.058
NCTC10005	miniasm	99.6727
NCTC10005	miniasm	98.61
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	104.341
NCTC10005	miniasm	104.426
NCTC10005	miniasm	101.556
NCTC10005	miniasm	106.962
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.374
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	109.843
NCTC10005	miniasm	110.829
NCTC10005	miniasm	102.657
NCTC10005	miniasm	101.227
NCTC10005	miniasm	104.136
NCTC10005	miniasm	103.873
NCTC10005	miniasm	103.393
NCTC10005	miniasm	102.45
NCTC10005	miniasm	107.236
NCTC10005	miniasm	102.633
NCTC10005	miniasm	103.253
NCTC10005	miniasm	103.799
NCTC10005	miniasm	98.6696
NCTC10005	miniasm	97.3684
NCTC10005	miniasm	105.854
NCTC10005	miniasm	100.606
NCTC10005	miniasm	102.154
NCTC10005	miniasm	97.0642
NCTC10005	miniasm	103.839
NCTC10005	miniasm	105.799
NCTC10005	miniasm	103.358
NCTC10005	miniasm	100.644
NCTC10005	miniasm	103.329
NCTC10005	miniasm	105.97
NCTC10005	miniasm	95.9581
NCTC10005	miniasm	100.374
NCTC10005	miniasm	103.826
NCTC10005	miniasm	101.784
NCTC10005	miniasm	98.3558
NCTC10005	miniasm	104.869
NCTC10005	miniasm	100.822
NCTC10005	miniasm	108.296
NCTC10005	miniasm	103.284
NCTC10005	miniasm	101.051
NCTC10005	miniasm	97.2921
NCTC10005	miniasm	104.062
NCTC10005	miniasm	104.545
NCTC10005	miniasm	103.846
NCTC10005	miniasm	105.61
NCTC10005	miniasm	101.726
NCTC10005	miniasm	101.954
